	t̪ʼ|tʼ	kʼ	2/3	0.684727702509148
b	d̪|d		2/3	0.5026674732599204
p	t̪|t	k	3/3	1.0
2/3	3/3	2/3
0.9267550406691328	1.0	0.7188092420919051
