	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ	kʼ	qʼ	3/4	0.7715636466004623
periodicGlottalSource:+;constrictedGlottis:+;raisedLarynxEjective:-	b̰				1/4	0.29409483572125256
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	q	4/4	1.0
	2/3	2/3	2/3	2/3
	0.8943025233001686	0.9913519730095085	0.9871723875751219	0.9901729319331399
