	tʼ	kʼ	qʼ	3/4	0.7715636466004623
b̰				1/4	0.29409483572125256
p	t	k	q	4/4	1.0
2/3	2/3	2/3	2/3
0.8943025233001686	0.9913519730095085	0.9871723875751219	0.9901729319331399
