	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-,+;front:+	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;front:+	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	ð	z	ʒ	vʲ	ðʲ	zʲ	ʒʲ	ʝ	ɣ	10/10	1.0
periodicGlottalSource:-	f		s	ʃ	fʲ		sʲ	ʃʲ	ç	x	8/10	0.9409505987987814
	2/2	1/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2	2/2
	1.0	0.2691806125609584	1.0	1.0	1.0	0.5635834140581311	1.0	1.0	1.0	1.0
