	labiodental:0;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:-;dorsal:-,+;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	dz	d̠ʒ	dzʲ	d̠ʒʲ	4/4	1.0
periodicGlottalSource:-	ts	t̠ʃ	tsʲ	t̠ʃʲ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
