	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+		sʰ	1/2	0.9593258823084925
periodicGlottalSource:+;spreadGlottis:-	v		1/2	0.34038181651373456
periodicGlottalSource:-;spreadGlottis:-	f	s	2/2	1.0
	2/3	2/3
	0.9992716666917129	0.7868177181520262
