	d			1/4	0.32775008888302826
p	t	c	k	4/4	1.0
pʰ	tʰ		kʰ	3/4	0.9495385262205662
2/3	3/3	1/3	2/3
0.6514229170037719	1.0	0.43284139343343747	0.7477985371653701
