	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz		ɡ		4/6	0.9094745194941409
periodicGlottalSource:+;category:fricative				ʒ			1/6	0.12856547016077816
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	k	q	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	ʃ			2/6	0.5178975002637856
	2/4	2/4	3/4	3/4	2/4	1/4
	0.776561221996813	0.9036894656578184	0.8739150334340746	0.8437545509347497	0.8598678076230013	0.5559788356559817
