	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:- | labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ	3/3	1.0
periodicGlottalSource:-	p	t	q	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
