	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+		z	ʒ	ʁ	ʕ	4/5	0.7280591151493279
periodicGlottalSource:-	f	s	ʃ			3/5	0.8038620274548909
	1/2	2/2	2/2	1/2	1/2
	0.6630955642992665	1.0	1.0	0.2965622339761376	0.2766393025149453
