	z	ʒ	ʁ	ʕ	4/5	0.7280591151493279
f	s	ʃ			3/5	0.8038620274548909
1/2	2/2	2/2	1/2	1/2
0.6630955642992665	1.0	1.0	0.2965622339761376	0.2766393025149453
