	labial:+;coronal:-;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	b	d	ɖ	ɡ		4/5	0.9817629823050338
periodicGlottalSource:-	p	t	ʈ	k	q	5/5	1.0
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.8714529730370428
