	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p		t	t̠ʃ	k	q	5/6	0.9950282338914532
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	ɬ		s			3/6	0.7470208176644619
constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ		tʼ	t̠ʃʼ	kʼ		4/6	0.8875584461921452
	3/3	1/3	2/3	3/3	2/3	1/3
	1.0	0.5953324165875787	0.9572618434659242	1.0	0.8972899081837833	0.5415245486637394
