	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β				1/4	0.384179571092864
periodicGlottalSource:-		ɬ	s	ʃ	3/4	0.7608984829835667
	1/2	1/2	1/2	1/2
	0.33745490270910106	0.9048884957099266	0.7885039856538901	0.784333365145307
