	labial:+;coronal:-;dorsal:-;round:-	labial:+;coronal:-;dorsal:-;round:-,-,+	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+ | labial:-,-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		-	t	k	kʷ	3/4	0.7532331777889893
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	mbʷ	nd	ŋɡ	ŋɡʷ	5/5	1.0
	1/2	1/1	2/2	2/2	2/2
	0.3564673241556326	1.0	1.0	1.0	1.0
