	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-,+	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	β				1/4	0.34941235609960714
periodicGlottalSource:-	ɸ	ɸʷ	s	ʃ	4/4	1.0
	2/2	1/2	1/2	1/2
	1.0	0.9608253399210916	0.7904973690479861	0.7783204924998441
