		t	t̠ʃ	k	kʷ	4/6	0.796620426098272
β						1/6	0.2663874767394176
mb	mbʷ	nd	n̠d̠ʒ	ŋɡ	ŋɡʷ	6/6	1.0
ɸ	ɸʷ	s	ʃ			4/6	0.7707197805728768
3/4	2/4	3/4	3/4	2/4	2/4
0.5013677992913921	0.6371644000811546	0.9414785611624714	0.9229516648555103	0.8213990083936559	0.7363744930152132
