	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+		z				ʕ	2/6	0.4136464331052621
periodicGlottalSource:-	f	s	ʃ	x	xʷ	ħ	6/6	1.0
	1/2	2/2	1/2	1/2	1/2	2/2
	0.7619820000412727	1.0	0.7792169255142991	0.7047042668910858	0.8284979683971684	1.0
