	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ	kʼ	kʷʼ	3/4	0.7941470259928207
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ	ɡʷ	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-		t	k	kʷ	3/4	0.7468223533789329
	1/3	3/3	3/3	3/3
	0.3475091064556053	1.0	1.0	1.0
