	labial:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	ð			2/4	0.44277958963817027
periodicGlottalSource:-			ʃ	ʂ	2/4	0.6902010565163662
	1/2	1/2	1/2	1/2
	0.33745490270910106	0.2691806125609584	0.790979405536229	0.7700411647665334
