	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d	ɡb	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-		t	kp	c	k	4/5	0.7342993135084424
	1/2	2/2	2/2	2/2	2/2
	0.35307331597901326	1.0	1.0	1.0	1.0
