	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	β		1/2	0.6092750321527216
periodicGlottalSource:-	ɸ	ɕ	2/2	1.0
	2/2	1/2
	1.0	0.7843586574511326
