	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0;strident:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+		ʐ̰	1/2	0.9846370658522334
periodicGlottalSource:-;constrictedGlottis:-	ʃ	s	2/2	1.0
	1/2	2/2
	0.9998860432779775	1.0
