	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;round:0;lateral:-	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:0,-,+;high:+;front:+;back:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:+ | labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:-;front:+;back:+;round:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:-;front:+;back:+;round:+ | labial:-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+;low:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+;low:0 | labial:-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+;low:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+;low:0 | labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+;low:+;retractedTongueRoot:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+;low:+;retractedTongueRoot:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:-;front:+;back:+;round:+;low:+;retractedTongueRoot:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:-;front:+;back:+;round:+;low:+;retractedTongueRoot:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0 | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0 | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0;low:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t	pʲ	c	kʷ	k	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		ç		χ	3/6	0.7845979780735143
	1/2	2/2	1/2	2/2	1/2	2/2
	0.7008776193210051	1.0	0.6448088849583421	1.0	0.6088332043164958	1.0
