		ɡ	ɟ	2/4	0.3449262854441638
pf	ts			2/4	0.2937511347306778
v	z			2/4	0.5577002804638851
p	t	k	c	4/4	1.0
f	s		ʃ	3/4	0.8561592598704558
4/5	4/5	2/5	3/5
0.7260849187869737	0.8170497520197673	0.8144368418944863	0.5377678719642844
