p	t	c	k	4/4	1.0
pʰ	tʰ	cʰ	kʰ	4/4	1.0
mb	nd			2/4	0.6562003365759178
3/3	3/3	2/3	2/3
1.0	1.0	0.5340016808227429	0.7447229153201055
