	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	tʰ	cʰ	kʰ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	nd			2/4	0.6562003365759178
	3/3	3/3	2/3	2/3
	1.0	1.0	0.5340016808227429	0.7447229153201055
