	labial:+;coronal:-;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;high:0;back:0;retractedTongueRoot:-,+ | labial:-;coronal:+;dorsal:-;high:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;high:+;back:-;retractedTongueRoot:-,+ | labial:-;coronal:-;dorsal:+;high:+;back:-;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;high:-;back:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡ		3/4	0.9832823297217604
periodicGlottalSource:-;spreadGlottis:-		tˤ	kˤ	q	3/4	0.7414986093738135
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ		3/4	0.9193081549089175
	2/3	3/3	3/3	1/3
	0.455353470343173	1.0	1.0	0.6776454705449567
