	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;low:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ʁ		4/5	0.9864123812397781
periodicGlottalSource:-	f	s	ʃ	χ	ħ	5/5	1.0
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.7233606974850547
