	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:+,+,-;labiodental:-;coronal:-,-,+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:+,-;labiodental:-;coronal:-,+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;lateral:-,-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	pf	-	ps		ts	t̠ʃ	4/5	0.9461842915031766
periodicGlottalSource:+;spreadGlottis:+;sonorant:+,-,-;nasal:+,-,-	-	-	-	n̤d̤ɮ̤	-	-	1/1	1.0
periodicGlottalSource:+;spreadGlottis:+;sonorant:-;nasal:-	b̤v̤	-	b̤z̤	d̤ɮ̤	d̤z̤	d̤ʒ̤	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:- | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-	pfʰ	-	psʰ		tsʰ	t̠ʃʰ	4/5	0.9569093045076366
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,- | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-	mbv	mbz					2/6	0.0025787903727768234
	4/4	1/1	3/4	2/5	3/4	3/4
	1.0	1.0	0.5801992317757797	0.00047508367823831453	0.8332348891432881	0.758007146162607
