p	pf	-	ps		t	ts			k	t̠ʃ	7/10	0.984128765630669
ɓ	-	-	-	-	ɗ	-	-	-		ʄ	3/4	0.9198284099217681
b̤	b̤v̤	-	b̤z̤	d̤ɮ̤	d̤	d̤z̤	-	-	ɡ̤	d̤ʒ̤	8/8	1.0
	f	-	-	ɬ		s	sʷ	-		ʃ	5/8	0.7769051275073666
pʰ	pfʰ	-	psʰ		tʰ	tsʰ		-	kʰ	t̠ʃʰ	7/9	0.9894392991519602
m̤b̤	-	-	-	n̤d̤ɮ̤	n̤d̤		-	n̤ɡ̤			4/7	0.6363636363636369
		-	-			nz		-			1/8	0.24494262184429047
mb	mbv	mbz			nd			nɡ			5/11	0.5179522839212081
6/8	5/6	1/1	3/4	3/7	6/8	5/7	1/5	2/3	3/8	5/8
0.91619939191065	0.762467969287724	1.0	0.5801992317757797	0.5781027464675886	0.9388671849591775	0.935229150561957	0.2862211137867643	0.00215362230123272	0.614567427530254	0.7463356692063383
