	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+,-;anterior:+;distributed:-;dorsal:-,+;front:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p	t	-	k	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ	-	ʄ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	b̤	d̤	-	ɡ̤	3/3	1.0
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	m̤b̤	n̤d̤	n̤ɡ̤		3/4	0.6250000000000004
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	pʰ	tʰ	-	kʰ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	nd	nɡ		3/4	0.5996154152341048
	6/6	6/6	2/2	4/6
	1.0	1.0	1.0	0.7136717253227964
