	labiodental:0;coronal:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:-;distributed:0;dorsal:+;front:-;round:0 | labiodental:0;coronal:+;distributed:+;dorsal:+;front:+;round:0 | labiodental:0;coronal:+;distributed:+;dorsal:+;front:+;round:0;anterior:+;strident:+	count	markedness_count
periodicGlottalSource:+		ɣ	1/2	0.29845928089641893
periodicGlottalSource:-	s̺	ɕ	2/2	1.0
	1/2	2/2
	0.7897727081188559	1.0
