	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	z	2/2	1.0
periodicGlottalSource:-	ɸ	s	2/2	1.0
	2/2	2/2
	1.0	1.0
