	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:+;coronal:-;dorsal:-,+;front:+;round:-	labial:-;coronal:+;dorsal:-,+;front:+;round:0	labial:-,+;coronal:+;dorsal:-,+;front:+;round:+	labial:+;coronal:-;dorsal:+;front:-;round:-	labial:+;coronal:-;dorsal:+;front:-,+;round:-	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	labial:-,+;coronal:-;dorsal:+;front:-,+;round:+	count	markedness_count
periodicGlottalSource:+	b	d	dʷ	bʲ		dʷʲ	ɡb	ɡbʲ	ɡ	ɡʲ	ɡʷ	ɡʷʲ	11/12	0.9945424793289863
periodicGlottalSource:-	p	t	tʷ	pʲ	tʲ	-	kp	kpʲ	k	kʲ			9/11	0.9569293554302544
	2/2	2/2	2/2	2/2	1/2	1/1	2/2	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	1.0	0.646099549244264	1.0	1.0	1.0	1.0	1.0	0.17712269022346233	0.3549039062212913
