	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;round:+	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,+;round:-	count	markedness_count
periodicGlottalSource:+	β	v	z	ʒ			4/6	0.9733368259643786
periodicGlottalSource:-	ɸ	f	s	ʃ	ʃʷ	ɸʲ	6/6	1.0
	2/2	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	1.0	0.5433356750125081	0.4631367922596183
