	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		dz	1/2	0.9972931596127421
periodicGlottalSource:-	pf	ts	2/2	1.0
	1/2	2/2
	0.6808191112874288	1.0
