	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:-;strident:-;lateral:-;distributed:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		ɖ			1/4	0.3566061891290617
periodicGlottalSource:-	p	t	kp	k	4/4	1.0
	1/2	2/2	1/2	1/2
	0.6469266840209866	1.0	0.46941066790656305	0.7131090135848781
