	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;round:0	labial:-,+;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;round:+	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d̪								2/9	0.5703096962468611
periodicGlottalSource:+;category:fricative			z̪	ʒ	ʒʷ	ɣ	ɣʷ	ʁ		6/9	0.6626096412376374
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t̪	t̪s̪	t̠ʃ	t̠ʃʷ	k	kʷ	q	qʷ	9/9	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s̪	ʃ	ʃʷ	x	xʷ	χ	χʷ	7/9	0.7601852556838036
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ	t̪ʼ	t̪s̪ʼ	t̠ʃʼ	t̠ʃʷʼ	kʼ	kʷʼ	qʼ	qʷʼ	9/9	1.0
	3/5	3/5	4/5	4/5	4/5	4/5	4/5	4/5	3/5
	0.7748487399431309	0.9333257281681163	0.9384905672048389	0.853984732751141	0.967775228738536	0.741070556262498	0.8379611592760847	0.9262593412767222	0.8556375065998592
