	labial:-;anterior:+;high:0;low:0;front:0;back:0	labial:-;anterior:-;high:0;low:0;front:0;back:0	labial:-,+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	t̪s̪	t̠ʃ	t̠ʃʷ	3/3	1.0
constrictedGlottis:+;raisedLarynxEjective:+	t̪s̪ʼ	t̠ʃʼ	t̠ʃʷʼ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
