	labiodental:0;coronal:-;dorsal:+;round:0 | labiodental:0;coronal:+;dorsal:-;round:0 | labiodental:0;coronal:+;dorsal:-;round:0;anterior:-;distributed:+;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	d̠ʒ	1/1	1.0
periodicGlottalSource:-	kx	1/1	1.0
	2/2
	1.0
