	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	cʼ	kʷʼ	qʼ	qʷʼ	6/6	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɟ	ɡʷ	ɢ	ɢʷ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	tʰ	cʰ	kʷʰ	qʰ	qʷʰ	6/6	1.0
	3/3	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0	1.0
