	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:- | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:+;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b		d	dz	ɟ	ɡʷ	ɢ		ɢʷ	7/9	0.997918993093176
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ɬ		s	ç	xʷ	χ	ħ	χʷ	7/9	0.7714747490383714
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	pʰ	tɬʰ	tʰ	tsʰ	cʰ	kʷʰ	qʰ	-	qʷʰ	8/8	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	tɬʼ	tʼ	tsʼ	cʼ	kʷʼ	qʼ	-	qʷʼ	8/8	1.0
	3/4	3/4	3/4	4/4	4/4	4/4	4/4	1/2	4/4
	0.734013541556512	0.965779660011724	0.9120457762374887	1.0	1.0	1.0	1.0	0.9811962587716075	1.0
