	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;round:-,+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive		t	kpʷ		2/4	0.36160341514300404
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	mb	nd			2/4	0.6598530398930915
periodicGlottalSource:+;category:fricative	v		-	ɣ	2/3	0.36120962222087477
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	-		1/3	0.7567814325335742
	2/4	3/4	1/2	1/4
	0.3527287032102056	0.8850501503904042	0.5223552024932423	0.054180573087333365
