	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-,+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t	kpʷ	2/3	0.5834044345758619
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		2/3	0.9995320767639455
	1/2	2/2	1/2
	0.3564673241556326	1.0	0.5223552024932423
