	labial:+;coronal:-;strident:0;anterior:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	ð	ɣ	3/3	1.0
periodicGlottalSource:-			ʃ	1/3	0.7496934924598934
	1/2	1/2	2/2
	0.33747892892306774	0.1979374187983711	1.0
