	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t		k	2/4	0.6929444851860761
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ	4/4	1.0
	1/2	2/2	1/2	2/2
	0.35742956402202924	1.0	0.46848697436722647	1.0
