	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-		t	k	2/3	0.7421884717673985
periodicGlottalSource:-;spreadGlottis:+	pʰ			1/3	0.2688473378995678
	2/3	2/3	2/3
	0.4556547232547866	0.8990964713956104	0.8778662622651932
