	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dz	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s		2/4	0.7307155530096854
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive		t	ts	k	3/4	0.7933505907583248
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ				1/4	0.20567434412708857
	3/4	2/4	3/4	2/4
	0.5420061725029904	0.851397211330576	0.9140478881746732	0.7626968595014249
