	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	tʷ	k	kʲ	kʷ	6/6	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	dʷ	ɡ	ɡʲ	ɡʷ	6/6	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		ŋɡ			3/6	0.9191381617874684
	3/3	3/3	2/3	3/3	2/3	2/3
	1.0	1.0	0.975505705291039	1.0	0.9755365396865532	0.9854133775966731
