	labial:+;labiodental:+;coronal:-;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;dorsal:-;front:0;round:+	labial:+;labiodental:+;coronal:-;dorsal:-,+;front:+;round:-	labial:-;labiodental:0;coronal:-;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+		z	zʷ		ɣ	3/5	0.8490421050950778
periodicGlottalSource:-	f	s	sʷ	fʲ		4/5	0.800799704011585
	1/2	2/2	2/2	1/2	1/2
	0.7610533045600901	1.0	1.0	0.572903071236873	0.295892202365961
