	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0 | labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0;strident:-	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d̪	ɡ		3/4	0.9811871915192691
periodicGlottalSource:-;loweredLarynxImplosive:+ | periodicGlottalSource:+;loweredLarynxImplosive:+ | periodicGlottalSource:+;loweredLarynxImplosive:+;spreadGlottis:-	ɓ̥	ɗ			2/4	0.8055110377250676
periodicGlottalSource:-;loweredLarynxImplosive:-		t̪	k	q	3/4	0.7501728038080134
	2/3	3/3	2/3	1/3
	0.37454999163912217	1.0	0.973225602077531	0.8704555835413043
