	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	k	q	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡ		3/4	0.9803118483357901
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ		3/4	0.9992692974613585
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	mp	nt	ŋk	ɴq	4/4	1.0
	4/4	4/4	4/4	2/4
	1.0	1.0	1.0	0.8714529730370428
