	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-,+;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:+	labial:-,+;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:+	labial:-,+;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:+	labial:-,+;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:+	labial:-,-,+;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b		d			-				-	ɡ	ɡʷ			4/12	0.8670204906388908
periodicGlottalSource:+;category:fricative				z	ʒ	-		zʷ	ʒʷ	-			ʁ	ʁʷ	6/12	0.49973898255756777
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ		s	ʃ	ɬʷ		sʷ	ʃʷ	-	x	xʷ	χ	χʷ	10/13	0.7739257674923663
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	pʰ	tɬʰ	tʰ	tsʰ	t̠ʃʰ	-	tʷʰ	tsʷʰ	t̠ʃʷʰ	tɬʷʰ	kʰ	kʷʰ	qʰ	qʷʰ	13/13	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	tɬʼ	tʼ	tsʼ	t̠ʃʼ	-	tʷʼ	tsʷʼ	t̠ʃʷʼ	tɬʷʼ	kʼ	kʷʼ	qʼ	qʷʼ	13/13	1.0
	3/5	3/5	3/5	4/5	4/5	1/1	2/5	4/5	4/5	2/2	4/5	4/5	4/5	4/5
	0.6418222418716396	0.8992825181948325	0.878069321258848	0.9258843583668052	0.7821188082729337	1.0	0.7141388199015415	0.9876487985913222	0.9505198375381401	1.0	0.9284559733840828	0.9812829629781283	0.9073503421647714	0.9542164192563439
