	labial:-;lateral:-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-,+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-,+;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-,-,+;lateral:-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+ | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+	tɬʼ	tsʼ	t̠ʃʼ	tsʷʼ	t̠ʃʷʼ	tɬʷʼ	6/6	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:- | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-	tɬʰ	tsʰ	t̠ʃʰ	tsʷʰ	t̠ʃʷʰ	tɬʷʰ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
