	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;strident:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɖ	ɡ	4/4	1.0
periodicGlottalSource:-		t		k	2/4	0.7001250164688497
	1/2	2/2	1/2	2/2
	0.35307331597901326	1.0	0.18254808563574523	1.0
