b	d̪	ɖ	d̠ʒ	ɡ		5/6	0.9998101665062936
f			s	x	ħ	4/6	0.8979406354072247
	t		t̠ʃ	k	-	3/5	0.7455902937858208
2/3	2/3	1/3	3/3	3/3	1/2
0.4550821497417729	0.9163404765170396	0.1817798891872288	1.0	1.0	0.9811962587716075
