	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;dorsal:+;front:-	labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+	count	markedness_count
periodicGlottalSource:+	v		-	ʝ	2/3	0.4285687741640036
periodicGlottalSource:-	f	s̪	ɧ	ɕ	4/4	1.0
	2/2	1/2	1/1	2/2
	1.0	0.7929341138564405	1.0	1.0
