	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:+;front:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;front:-;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+;distributed:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive	b	d̪		ɡ	3/4	0.9999729879593674
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	t̪ʰ		kʰ	3/4	0.9999237479101052
periodicGlottalSource:+;category:fricative	v		-	ʝ	2/3	0.4259845226703553
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪	ɧ	ɕ	4/4	1.0
	4/4	3/4	1/3	4/4
	1.0	0.8523478952723439	0.25319693094629153	1.0
