	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative	v		z	-		2/4	0.6921112148810284
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	kp	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	-		2/4	0.7295437254844072
	4/4	2/4	4/4	2/2	2/4
	1.0	0.9287885102262046	1.0	1.0	0.823013674549562
