	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d	ɖ	ɡb	ɟ	ɡ	6/6	1.0
periodicGlottalSource:-	p	t		kp	c	k	5/6	0.9470461011403796
	2/2	2/2	1/2	2/2	2/2	2/2
	1.0	1.0	0.18254808563574523	1.0	1.0	1.0
