	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-	labial:+;labiodental:+,-;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	pf	-	ts		2/3	0.9872371766071536
periodicGlottalSource:+;sonorant:-;nasal:-	bv	bvʷ	dz	d̠ʒʷ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		-	ndz		1/3	0.9963159920998467
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	mpf	-			1/3	0.0006483156918976867
	3/4	1/1	3/4	1/4
	0.9922527016373618	1.0	0.9896488792722891	0.24345945448930958
