	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;high:0;low:0;back:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	pf	-	t	ts		kp	c	k		kʲ		8/11	0.9628823730643912
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b	bv	bvʷ	d	dz		ɡb	ɟ	ɡ	ɡʷʲ		d̠ʒʷ	10/12	0.8596146138520818
periodicGlottalSource:+;category:fricative		v			z	zʲ	-		ɣ	-	ʒ	ɣʷ	6/10	0.7880491700124713
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive			-	nd	ndz	-	ŋmɡb		ŋɡ	-			4/9	0.5760371405117626
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive		mpf	-			-				-			1/9	8.398913693270505e-05
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f			s		-		x		ʃ	xʷ	5/11	0.8534764443160052
	2/6	5/6	1/3	3/6	5/6	1/4	3/4	2/6	5/6	1/3	3/6	3/6
	0.8808765530991566	0.9999495567473097	0.002569929606847725	0.8914498178661863	0.9902426139623025	0.1251403885202724	0.9992145074978859	0.8053943482030848	0.9903467699531768	0.22140670028818446	0.840751407820386	0.39248946739836715
