	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-,+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	kp	c	k	kʲ		6/7	0.9995862368243189
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡb	ɟ	ɡ		ɡʷʲ	6/7	0.9943128471800909
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		nd	ŋmɡb		ŋɡ		-	3/6	0.604439388090821
	2/3	3/3	3/3	2/3	3/3	1/3	1/2
	0.9721582883520561	1.0	1.0	0.9734637915120878	1.0	0.7178848606853657	0.3549039062212913
